Country_Name;Land_area;Population_2017;Total_Count;Density_per_km_2;Density_per_1000_pop
Angola;1246700;29784193;54;0.04331435;0.001813042
United Arab Emirates;83600;9400145;2;0.023923445;0.000212763
Argentina;2736690;44271041;360;0.131545772;0.008131727
Armenia;28470;2930450;1;0.035124693;0.000341245
Australia;7682300;24598933;441;0.057404683;0.017927607
Austria;82523;8809212;811;9.827563225;0.092062718
Azerbaijan;82663;9862429;2;0.024194622;0.00020279
Belgium;30280;11372068;840;27.74108322;0.073865193
Bangladesh;130170;164669751;2;0.015364523;1.21E-05
Bulgaria;108560;7075991;52;0.478997789;0.007348794
Belarus;202910;9507875;152;0.749100586;0.015986748
Brazil;8358140;209288278;198;0.023689481;0.000946063
Botswana;566730;2291661;1;0.001764509;0.000436365
Canada;9093510;36708083;730;0.080277033;0.019886628
Switzerland;39516;8466017;671;16.98046361;0.07925805
Chile;743532;18054726;60;0.080695922;0.00332323
China;9388211;1386395000;107;0.011397273;7.72E-05
Cameroon;472710;24053727;3;0.006346386;0.000124721
Colombia;1109500;49065615;45;0.04055881;0.000917139
Costa Rica;51060;4905769;2;0.039169604;0.000407683
Cuba;104020;11484636;3;0.028840608;0.000261219
Czech Republic;77210;10591323;1779;23.04105686;0.167967684
Germany;348900;82695000;17274;49.50988822;0.208888083
Denmark;42262;5769603;64;1.514362785;0.011092618
Algeria;2381741;41318142;5;0.002099305;0.000121012
Ecuador;248360;16624858;8;0.032211306;0.000481207
Spain;500210;46572028;1861;3.720437416;0.039959608
Estonia;42390;1315480;3;0.070771408;0.002280536
Finland;303890;5511303;90;0.296159795;0.016330077
France;547557;67118648;6465;11.80698996;0.096321964
UK;241930;66022273;2043;8.444591411;0.030944103
Ghana;227540;28833629;3;0.013184495;0.000104045
Greece;128900;10760421;48;0.372381691;0.004460792
Croatia;55960;4125700;31;0.553967119;0.007513876
Haiti;27560;10981229;1;0.03628447;9.11E-05
Hungary;90530;9781127;417;4.606207887;0.042633124
Indonesia;1811570;263991379;1;0.000552007;3.79E-06
India;2973190;1339180127;20;0.006726782;1.49E-05
Ireland;68890;4813608;133;1.930614022;0.027630002
Iran;1628760;80277428;25;0.0153491;0.00031142
Iceland;100250;341284;10;0.099750623;0.02930111
Israel;21640;8712400;4;0.184842884;0.000459116
Italy;294140;60551416;2854;9.702862582;0.047133497
Lithuania;62650;2827721;19;0.303272147;0.006719192
Luxembourg;2590;599449;22;8.494208494;0.03670037
Latvia;62180;1940740;231;3.715020907;0.119026763
Morocco;446300;35739580;9;0.020165808;0.000251822
Moldova;32870;3549750;2;0.060845756;0.00056342
Mexico;1943950;129163276;105;0.054013735;0.000812925
Macedonia;25220;2081206;7;0.277557494;0.003363434
Mali;1220190;18541980;2;0.001639089;0.000107863
Mongolia;1553560;3075647;3;0.001931049;0.000975405
Mauritius;2030;1264613;4;1.97044335;0.003163023
Malaysia;328550;31624264;6;0.018262061;0.000189728
New Caledonia;18280;280460;1;0.054704595;0.003565571
Nicaragua;120340;6217581;37;0.30746219;0.005950867
Netherlands;33690;17132854;1314;39.00267142;0.076694753
Norway;365245;5282223;339;0.928144122;0.064177525
Nepal;143350;29304998;4;0.027903732;0.000136495
New Zealand;263310;4793900;7;0.026584634;0.001460189
Oman;309500;4636262;1;0.003231018;0.000215691
Pakistan;770880;197015955;1;0.001297219;5.08E-06
Peru;1280000;32165485;8;0.00625;0.000248714
Philippines;298170;104918090;321;1.076567059;0.00305953
Poland;306190;37975841;2428;7.929716842;0.063935385
Portugal;91605;10293718;42;0.458490257;0.004080158
Paraguay;397300;6811297;65;0.163604329;0.00954297
Romania;230080;19586539;31;0.134735744;0.00158272
Russia;16376870;144495044;2137;0.130488915;0.014789435
Saudi Arabia;2149690;32938213;4;0.001860733;0.000121439
Singapore;709;5612253;45;63.4696756;0.00801817
Slovenia;20140;2066748;5;0.248262165;0.00241926
Sweden;407310;10067744;27;0.066288576;0.002681832
Thailand;510890;69037513;41;0.080252109;0.00059388
Tunisia;155360;11532127;1;0.006436663;8.67E-05
Turkey;769630;80745020;7;0.00909528;8.67E-05
Ukraine;579290;44831159;291;0.50233907;0.006491021
Uruguay;175020;3456750;1;0.005713633;0.000289289
USA;9147420;325719178;2215;0.24214478;0.006800336
Uzbekistan;425400;32387200;53;0.124588622;0.001636449
Venezuela;882050;31568179;70;0.07936058;0.002217423
Vietnam;310070;95540800;56;0.18060438;0.000586137
South Africa;1213090;56717156;29;0.023905893;0.000511309
